keywords,len
ORGANIZATIONS,1
DETERMINANTS,1
INDICATORS,1
FIRMS,1
compulsory license,2
pharmaceutical patents,2
TRIPS flexibility,2
the balance of interests,4
China,1
INTELLECTUAL PROPERTY,2
PUBLICHEALTH,1
SYSTEM,1
Economics of outer space,4
Orbital debris,2
Outer space pollution,3
Space law,2
WASTE,1
SPACE,1
DESIGN,1
,1
ETHICS,1
EXTINCTION,1
,1
COMPETITIVE ADVANTAGE,2
LAW,1
STRATEGY,1
Research collaboration,2
Technology transfer,2
Outcome quality,2
Patent reassignment,2
University patents,2
RESEARCHANDDEVELOPMENT,1
BAYHDOLE ACT,2
NATIONAL INNOVATION,2
KNOWLEDGE TRANSFER,2
PATENT QUALITY,2
UNITEDSTATES,1
INDUSTRY,1
US,1
COMMERCIALIZATION,1
ENTERPRISES,1
,1
ACTIVATED CARBON,2
ELECTROCATALYTIC PROPERTIES,2
CATALYTICOXIDATION,1
NANOTUBES,1
NANOPARTICLES,1
NANOFIBERS,1
H2S,1
DESULFURIZATION,1
BIOGAS,1
Anticoagulant,1
antiplatelet,1
cardioaortic embolism,2
cardioembolic,1
embolic stroke of unknown source,5
patent foramen ovale,3
percutaneous closure,2
stroke subtypes,2
APIXABAN,1
ASPIRIN,1
,1
BRAND,1
GOODS,1
CONSUMERS,1
MEDICATION,1
PREFERENCE,1
ANTITRUST,1
TASTE,1
Research funding,2
Academic patents,2
Collaboration,1
Nanotechnology,1
BAYHDOLE ACT,2
RESEARCHANDDEVELOPMENT,1
NETWORK STRUCTURE,2
IMPACT,1
TECHNOLOGY,1
INNOVATION,1
UNIVERSITY,1
ENTREPRENEURIAL,1
PERFORMANCE,1
QUALITY,1
Eurasian otter,2
Lutra lutra,2
Parasite,1
Dirofilaria immitis,2
Heartworm,1
Natural infection,2
SERBIA,1
Cloud computing,2
Property,1
Intellectual property,2
Copyright,1
Trade secret,2
Patents,1
Contractual terms,2
Dispute resolution,2
Data protection,2
COPYRIGHT PROTECTION,2
SOFTWARE PATENTS,2
BIG DATA,2
LEGAL,1
FUTURE,1
ISSUES,1
FIRM,1
WIPO World Intellectual Property Organization,5
Intellectual Property,2
Trademark,1
Design,1
Image Rights,2
,1
Carbon intensity,2
Innovations,1
Renewable energy,2
Urbanization,1
OPEC,1
RENEWABLE ENERGYCONSUMPTION,2
ECONOMICGROWTH,1
CO2 EMISSIONS,2
PANELDATA,1
TECHNOLOGICALINNOVATION,1
ELECTRICITY CONSUMPTION,2
GRANGER CAUSALITY,2
GREEN ECONOMY,2
BLUE ECONOMY,2
URBANIZATION,1
medical countermeasures against COVID19,4
immunization as a global public good,6
community interests under international law,5
international intellectual property rights,4
TRIPS Agreement,2
TRADE,1
Return migration,2
knowledge production,2
multinational enterprise,2
internal labor markets,3
BRAINDRAIN,1
ECONOMICS,1
SPILLOVERS,1
DIFFUSION,1
PROXIMITY,1
MOBILITY,1
FLOWS,1
FIRM,1
patent system,2
patent markets,2
fieldofuse licensing,2
price differentiation,2
SEP,1
FRAND,1
digital economy,2
economic development,2
DISCRIMINATION,1
AUCTION,1
SYSTEMS,1
D23,1
G34,1
G38,1
K22,1
CORPORATE GOVERNANCE,2
INCENTIVE CONTRACTS,2
AGREEMENTS,1
OWNERSHIP,1
MATTER,1
STOCK,1
INVESTMENT,1
INNOVATION,1
SALIENCE,1
MOBILITY,1
Healthcare,1
antitrust,1
patents,1
market power,2
PHYSICIAN PRACTICE COMPETITION,3
MARKET CONCENTRATION,2
HOSPITAL MERGERS,2
UNITEDSTATES,1
PRICES PAID,2
CONSOLIDATION,1
NONPROFIT,1
POLICY,1
indigenous knowledge,2
New Zealand,2
patent law,2
,1
Additive manufacturing,2
Strategic management,2
Service operations,2
Spare parts,2
Patent law,2
Digital businesses,2
INTELLECTUAL PROPERTY,2
OPERATIONS MANAGEMENT,2
CRITICALITY,1
trademark law,2
trademarks,1
social movements,2
hashtags,1
Black Lives Matter,3
,1
Intellectual property,2
compulsory licences,2
health crises,2
health,1
innovation,1
,1
,1
CONFUSION,1
Video games,2
mechanics,1
patents,1
copyright,1
technical problem,2
ideaexpression,1
computerimplemented inventions,2
,1
human immunodeficiency virus,3
hepatitis C virus,3
coinfection,1
access,1
patent,1
low and middleincome countries,4
directacting antivirals,2
people who inject drugs,4
INJECTING DRUGUSERS,2
ANTIRETROVIRAL TREATMENT,2
INFECTED INDIVIDUALS,2
VIRUSINFECTION,1
BARRIERS,1
PEOPLE,1
IMPACT,1
PATENT,1
China,1
intellectual property protection,3
legal enforcement,2
INSTITUTIONBASED VIEW,2
PROTECTION,1
REFORM,1
,1
STATUTORY INTERPRETATION,2
ADMINISTRATIVELAW,1
AGENCY INACTION,2
POLICY,1
RULEMAKING,1
RULES,1
CAPTURE,1
DOCTRINE,1
CHEVRON,1
REALITY,1
Open access repositories,3
Web 20 tools,3
OAIPMH,1
OpenDOAR,1
Open access policies,3
Patents,1
INSTITUTIONAL REPOSITORIES,2
BANGLADESH,1
Digital transformation,2
Copyright,1
Patents,1
Intellectual property rights,3
,1
,1
INTELLECTUAL PROPERTYRIGHTS,2
INNOVATION,1
PATENTS,1
MARKS,1
LAW,1
,1
,1
China,1
rule of law,3
governance,1
rationalized enforcement,2
accountability,1
intellectual property rights,3
environmental protection,2
DEMOCRACY,1
standard essential patents,3
licensing levels,2
FRAND,1
supply chain,2
automotive industry,2
antitrust,1
FRAND COMMITMENTS,2
PATENTS,1
3D printing,2
Pharmaceuticals,1
Intellectual property,2
Additive manufacturing,2
Patent law,2
Innovation,1
Regulatory development,2
TABLETS,1
PHARMACEUTICALS,1
FORMULATION,1
FABRICATION,1
Genetic information,2
Patent law,2
Property,1
Property rights,2
Donors,1
CONSENT,1
ISSUES,1
Qualitative,1
startup,1
venture capital,2
patents,1
intellectual property,2
technology commercialization,2
INVESTMENT FUNDS,2
PRIOR KNOWLEDGE,2
INNOVATION,1
INVENTION,1
DISCOVERY,1
MARKETS,1
FINANCE,1
MODEL,1
FIRMS,1
,1
ECONOMICS,1
innovation,1
networks,1
peer production,2
free and open source software,5
commons,1
motivational diversity,2
OPENSOURCE SOFTWARE,2
INTELLECTUAL PROPERTYRIGHTS,2
INDUSTRIALREVOLUTION,1
NORMS,1
INFRASTRUCTURE,1
ORGANIZATION,1
SPILLOVERS,1
EMERGENCE,1
INVENTION,1
OPENNESS,1
biotherapeutics,1
biologics,1
biologicals,1
biological products,2
biopharmaceuticals,1
biomolecular drugs,2
protein products,2
nanomedicine,1
nanodrugs,1
nanoparticulate drug formulations,3
nanopharmaceuticals,1
nanotechnology,1
nanomaterial,1
nanoscale,1
patents,1
commercialization,1
research and development RD,4
US Food and Drug Administration FDA,6
European Medicines Agency EMA,4
drug delivery systems DDS,4
sitespecific delivery,2
nanoparticles NPs,2
protein aggregation,2
smallmolecule drug,2
New Chemical Entities NCEs,4
New Biological Entities NBEs,4
New Drug Application NDA,4
Biologic License Application BLA,4
BayhDole Act,2
HatchWaxman Act,2
Biologics Price Competition and Innovation Act BPCI Act,8
immunotoxic effects,2
complement activation,2
immunogenicity,1
antidrug antibodies ADAs,3
antibodydrug conjugates ADCs,3
adverse drug reaction ADR,4
conjugated proteins,2
functionalized antibodies,2
Federal Food,2
Drug,1
and Cosmetic Act FDC Act,5
target mediated drug disposition TMDD,5
pharmacodynamic PD,2
Public Health Service PHS Act,5
pharmacokinetics PK,2
Humira R,2
protein aggregates,2
active pharmaceutical ingredient API,4
hypersensitivity reactions HSR,3
anaphylactoid reactions,2
complement activationrelated pseudoallergy CARPA,4
Doxil R,2
Ambisome R,2
DaunoXome R,2
Abelcet R,2
Visudyne R,2
Cremophor EL,2
PEGylated proteins,2
monoclonal antibodies mABs,3
Humulin R,2
PEGylated liposomes,2
accelerated blood clearance ABC,4
reticuloendothelial system RES,3
immune complexes ICs,3
biosimilar,1
generic drugs,2
bioequivalent,1
interchangeable product,2
nanosimilars,1
nonbiologic complex drug NBCD,4
NBCD similar,2
glatiramer acetate,2
Copaxone R,2
immunomodulator,1
clinical trials,2
immunopharmacology,1
immunomodulatory effects,2
iTope TM,2
TCED TM,2
Epibase R,2
EpiMatrix TM,2
EpiScreen TM,2
immunogenic epitopes,2
artificial intelligence AI,3
singlecell genomics,2
user fees,2
druggable genome,2
cryoelectron microscopy cryoEM,3
epitope mapping analysis,3
benchtobedside,1
translation,1
druglike molecule,2
CRISPRCas9,1
IMMUNOGENICITY,1
COMPLEMENT,1
MEDICINES,1
MODEL,1
PIGS,1
,1
RESEARCHANDDEVELOPMENT,1
MEDICAL MALPRACTICE INSURANCE,3
DIRECTED TECHNICAL CHANGE,3
MARKETSIZE,1
INDUSTRY,1
HEALTH,1
LIABILITY,1
IMPACT,1
LAW,1
SYSTEM,1
business enterprise,2
intangible assets,2
financialization,1
Thorstein Veblen,2
John Commons,2
DIFFERENTIAL ACCUMULATION,2
PATENTS,1
INNOVATION,1
DICHOTOMY,1
ECONOMY,1
COSTS,1
AYRES,1
data exclusivities,2
drug pricing,2
healthcare reform,2
health law,2
health spending,2
health technology assessment,3
patents,1
pharmaceutical policy,2
PATENTS,1
DRUGS,1
Law and technology,3
cultural study of pharmaceuticals,4
patents,1
legal things,2
DRUGS,1
Africa,1
biosimilars,1
crossnational study,2
drug utilisation,2
Europe,1
health policy,2
insulin glargine,2
prices,1
NATIONALHEALTHSERVICE,1
PROTON PUMP INHIBITORS,3
OFPOCKET PAYMENTS,2
PRESCRIBING EFFICIENCY,2
GLYCEMIC CONTROL,2
NPH INSULIN,2
MEDICINES,1
GLARGINE,1
HYPOGLYCEMIA,1
METAANALYSIS,1
Foreign Patenting,2
Innovation Enterprises,2
Economy,1
Economic System,2
Cluster,1
ACADEMIC ENTREPRENEURSHIP,2
COMMERCIALIZATION,1
UNIVERSITIES,1
PERFORMANCE,1
OPENNESS,1
Complementarities,1
matching with contracts,3
stability,1
contract design,2
COMPETITIVEEQUILIBRIUM,1
STABILITY,1
NETWORKS,1
DESIGN,1
Engine,1
Variable compression ratio,3
Mechanism,1
Kinematic chain,2
Reconfigurability,1
,1
biotechnology,1
intellectual property rights,3
EU acquis,2
Albanian legislation,2
legal approximation,2
,1
,1
MONOCLONALANTIBODIES,1
DOCTRINE,1
TOLERANCE,1
THERAPIES,1
HISTORY,1
POLICY,1
VIRUS,1
Innovation and Invention Processes and Incentives,6
Intellectual Property and Intellectual Capital,5
Resource Booms,2
Comparative Studies of Countries,4
Exhaustible Resources and Economic Development,5
Institutions and Growth,3
NATURALRESOURCE BOOMS,2
CURSE,1
INVESTMENT,1
,1
,1
Yoga,1
rhetoric,1
intellectual property,2
vernacular,1
decoloniality,1
dewesternization,1
LAW,1
Requirements,1
market potential,2
natural language process,3
decision making,2
patents,1
,1
hemodialysis,1
cvc,1
central venous catheter,3
ijv catheter,2
internal jugular vein catheter,4
pfo,1
patent foramen ovale,3
brain,1
septic emboli,2
ABSCESS,1
efuel,1
synthetic fuel,2
patent analysis,2
technology management,2
clean energy,2
network analysis,2
ELECTRIC VEHICLES,2
NETWORK ANALYSIS,2
SOCIAL NETWORKS,2
KNOWLEDGE,1
CENTRALITY,1
COLLABORATION,1
INNOVATION,1
ECOSYSTEM,1
SYSTEMS,1
FLOW,1
citizen science,2
participatory research,2
intellectual property,2
patent,1
commons,1
ETHICALISSUES,1
LAW,1
employee mobility,2
innovation,1
IPR protection,2
multinational,1
R D,2
INTELLECTUAL PROPERTYRIGHTS,2
PATENT PROTECTION,2
RENTSEEKING,1
HOME BIAS,2
INTEGRATION,1
COUNTRIES,1
POLICY,1
RACE,1
LAWS,1
Trademarks,1
Innovation,1
Patents,1
Brand creation,2
Brand scope,2
RESEARCHANDDEVELOPMENT,1
PATENTS,1
MARKS,1
MANAGEMENT,1
INDICATOR,1
FIRMS,1
LAW,1
Development stages of nations,4
Innovation and stages of development,5
Development of nations,3
RESEARCHANDDEVELOPMENT,1
ABSORPTIVECAPACITY,1
EDUCATION,1
COMPETITIVENESS,1
PRODUCTIVITY,1
TECHNOLOGY,1
INVESTMENT,1
SPILLOVERS,1
SYSTEMS,1
DEMAND,1
Incentives,1
pharmaceutical innovation,2
Epogen,1
empirical research,2
pharmaceutical industry,2
POLICY,1
insolvency,1
key topics,2
patent,1
security,1
,1
Bitopic ligands,2
muscarinic receptor subtypes,3
orthosteric,1
allosteric,1
PROTEINCOUPLED RECEPTORS,2
ACETYLCHOLINERECEPTOR,1
ALLOSTERIC MODULATORS,2
LIGANDS,1
SELECTIVITY,1
DESIGN,1
,1
LEGAL DOCTRINE,2
reasonable capitalism,2
rationing transaction,2
managerial school,2
bargaining school,2
B25,1
E32,1
P16,1
,1
,1
CANNABIMIMETIC INDOLES,2
HUMAN HEPATOCYTES,2
RECEPTOR,1
CB1,1
DERIVATIVES,1
PHARMACOLOGY,1
METABOLITES,1
AGONISTS,1
TOXICITY,1
AFFINITY,1
,1
INTELLECTUAL PROPERTY,2
COMMONLAW,1
COVENANTS,1
FOUNDATIONS,1
RULES,1
Licences,1
Injunctions,1
FRAND,1
Jurisdiction,1
SEPs,1
Competition law,2
PATENT HOLDUP,2
Breast genetic testing,3
BRCA,1
genetic risk,2
hereditary risk,2
multigene panels,2
,1
,1
,1
,1
EMPLOYMENT PROTECTION,2
PRODUCTIVITY,1
LAWS,1
,1
DATA PROTECTION,2
,1
GENETICRESOURCES,1
PROPERTY,1
AUSTRALIA,1
BIOPIRACY,1
HERITAGE,1
CULTURE,1
PLANTS,1
Invalidity,1
Lack of inventive step,4
Pharmaceuticals,1
Generics,1
Unjust enrichment,2
Culpability of conduct,3
Strict liability,2
Cancelled patent,2
Judgment on validity,3
,1
postmarketing evaluation,2
Chinese medicine,2
pharmacoeconomics,1
guideline,1
,1
Intellectual property rights,3
Agamben,1
Biopolitics,1
First nations peoples,3
Wadawurrung,1
Australia,1
,1
,1
,1
AIPA,1
coordination,1
patent prosecution,2
plural sourcing,2
vertical integration,2
RESEARCHANDDEVELOPMENT,1
KNOWLEDGEBASED THEORY,2
VERTICAL INTEGRATION,2
ASSET OWNERSHIP,2
FIRM,1
BOUNDARIES,1
BUY,1
CAPABILITIES,1
ADAPTATION,1
GOVERNANCE,1
Nonsmoking laws,2
Employee health,2
Innovation,1
Patents,1
Research and development,3
RESEARCHANDDEVELOPMENT,1
DIFFERENCEINDIFFERENCES,1
DEVELOPMENT TAX CREDITS,3
SMOKING STATUS,2
CASH HOLDINGS,2
TOBACCOSMOKE,1
IMPACT,1
WORKPLACE,1
CANCER,1
MARKET,1
crystal engineering,2
crystal growth,2
monolayers,1
polymorphism,1
selfassembly,1
SELFASSEMBLED MONOLAYERS,2
CRYSTALSTRUCTURES,1
NUCLEATION,1
SULFATHIAZOLE,1
SPECTROSCOPY,1
GROWTH,1
ACID,1
Watersaving innovation performance,3
Groundwater overexploitation,2
Green authorized patent,3
Annual reports,2
Patent data,2
High water consumption companies,4
Water resources tax,3
GREEN INNOVATION,2
MODEL,1
GOVERNMENTS,1
POLICIES,1
GROWTH,1
LAW,1
Sectoral green growth,3
Energy transition progress,3
Nonrenewables consumption,2
Green technological accessibility,3
ASEAN,1
Q56,1
O10,1
Q41,1
F55,1
,1
venture capital,2
entrepreneurship,1
RD tax credits,3
payroll tax credits,3
skilled labor,2
startup scaling,2
INNOVATION EVIDENCE,2
INVESTMENT,1
SCIENTISTS,1
RIGHTS,1
POLICY,1
STATE,1
Transparency,1
Accountability,1
Research projects,2
Spanish public universities,3
ACCOUNTABILITY,1
Abdominal angiostrongyliasis,2
Angiostrongylidae,1
Pet,1
Zoonotic helminth,2
Reservoir,1
Molecular analyses,2
REDESCRIPTION,1
CESPEDES,1
MORERA,1
LARVAE,1
Academic enterprise,2
Markets for technology,3
Search heuristics,2
Capabilities,1
Knowledge diffusion,2
BAYHDOLE ACT,2
TECHNOLOGYTRANSFER ORGANIZATIONS,2
COGNITIVE DISTANCE,2
UNIVERSITY,1
KNOWLEDGE,1
INDUSTRY,1
INNOVATION,1
SCIENCE,1
FIRMS,1
EXPLORATION,1
clandestine laboratory,2
fentanyl,1
gas chromatography,2
mass spectrometry,2
GC,1
MS,1
illicit drugs,2
impurity profiling,2
synthesis,1
ALKYLATION,1
Biosimilars,1
offpatent biologicals,2
competition,1
sustainability,1
Belgium,1
IBD,1
technology emergence,2
blockchain,1
complexity theory,2
structuring,1
innovation,1
patents,1
LOCAL SEARCH,2
INNOVATION,1
DYNAMICS,1
COLLABORATION,1
SCIENCE,1
DISCONTINUITIES,1
PERFORMANCE,1
HIERARCHIES,1
ADAPTATION,1
SPECIATION,1
The fuzzy domain,3
Science technology interaction,3
Machine learning algorithms,3
Network analysis,2
PATENT CITATIONS,2
BIBLIOMETRICS,1
PUBLICATIONS,1
DECADES,1
LINKAGE,1
Pyrolysis,1
Bibliometric analysis,2
Technological evolution trend,3
TRIZ,1
Laser pyrolysis,2
Patents,1
WASTE TIRES,2
MICROWAVE PYROLYSIS,2
PLASMA PYROLYSIS,2
AUGER REACTORS,2
BIOOIL,1
BIOCHAR,1
BIOMASS,1
ENERGY,1
TEMPERATURE,1
INNOVATION,1
Borneol,1
Internal prescriptions,2
External prescriptions,2
Primary diseases,2
Proprietary Chinese medicines,3
Medication rules,2
,1
tender,1
procurement,1
offpatent,1
biological,1
biosimilar,1
award criteria,2
switching,1
interchangeability,1
sustainability,1
competition,1
,1
,1
INTELLECTUAL PROPERTY,2
COMPUTERPROGRAMS,1
LAW,1
PROTECTION,1
SCOPE,1
FASHION,1
PATENTS,1
,1
PROPERTY RULES,2
LIABILITY RULES,2
LAW,1
COPYRIGHT,1
PSYCHOLOGY,1
INNOVATION,1
,1
MONEY,1
data breach,2
earnings management,2
mandatory disclosure,2
real activities manipulation,3
EARNINGS MANAGEMENT,2
INSTITUTIONAL INVESTORS,2
CORPORATE GOVERNANCE,2
STOCK LIQUIDITY,2
FINANCIAL FRAUD,2
CONSEQUENCES,1
EXPECTATIONS,1
INCENTIVES,1
LITIGATION,1
PRESSURE,1
Human capital theory,3
Attention based view,3
Corporate venture capital,3
CVC unit heads,3
Patenting,1
Breakthrough innovation,2
RESEARCHANDDEVELOPMENT,1
UPPER ECHELONS,2
SELECTIVE PERCEPTION,2
KNOWLEDGE CREATION,2
MEDIA COVERAGE,2
MANAGEMENT,1
INVESTMENT,1
ATTENTION,1
INDUSTRY,1
EXPLOITATION,1
,1
G2M ARREST,2
STEMCELLS,1
APOPTOSIS,1
EXPRESSION,1
INHIBITION,1
MICELLES,1
ANALOG,1
PROLIFERATION,1
COMBINATION,1
MODULATION,1
Innovation,1
New products,2
Commercialization,1
Employment protection laws,3
Institutions,1
Small firms,2
INSTITUTIONBASED VIEW,2
INNOVATION PERFORMANCE,2
CORPORATE GOVERNANCE,2
KNOWLEDGE SOURCES,2
FIRM PERFORMANCE,2
LABORMARKETS,1
IMPACT,1
CAPABILITIES,1
ENGAGEMENT,1
MANAGEMENT,1
Prior art search,3
Patent analysis,2
Deep learning,2
Bertforpatents,1
PQAI,1
,1
European Union,2
internal market,2
European Competition Law,3
antitrust,1
restrictions of competition by object,5
ancillary restraints,2
case law,2
Generics judgment,2
Lundbeck judgment,2
Budapest Bank judgment,3
,1
Polymeric nanoparticles,2
Patent search,2
Targeted medication delivery,3
Generation of nanotechnology,3
Safebydesign,1
DELIVERY,1
CHALLENGES,1
RELEASE,1
DESIGN,1
Technology transfer,2
Technology transfer regulation,3
Regional development,2
Brazil,1
BAYHDOLE ACT,2
INTELLECTUAL PROPERTY,2
TRANSFER OFFICES,2
ACADEMIC ENTREPRENEURSHIP,2
COMMERCIALIZATION,1
PERFORMANCE,1
KNOWLEDGE,1
IMPACT,1
INNOVATION,1
CREATION,1
,1
,1
Copyright,1
Abusive litigation,2
Creative Commons,2
Open licenses,2
US copyright law,3
Statutory damages,2
Troll,1
,1
market integration,2
intellectual property,2
brexit,1
European economic area,3
international trade,2
EUROPEANIZATION,1
Pharmaceutical innovation,2
Entry,1
Regulation,1
Advertising,1
DRUG DEVELOPMENT,2
PRICES,1
Migration,1
Inventors,1
Multinational enterprises,2
Knowledge integration,2
Knowledge exploitation,2
Ethnic ties,2
RESEARCHANDDEVELOPMENT,1
INTELLECTUAL PROPERTYRIGHTS,2
PATENT CITATIONS,2
BRAINDRAIN,1
ABSORPTIVECAPACITY,1
EMPIRICALEVIDENCE,1
INNOVATION,1
FIRM,1
US,1
SPILLOVERS,1
Business,1
Runtime,1
Regulation,1
Monitoring,1
Computational modeling,2
Computational complexity,2
Patents,1
Business process,2
event log,2
compliance,1
regulations,1
crossinstance,1
instancespanning,1
runtime verification,2
EFFICIENT,1
VERIFICATION,1
Validity of a patent,4
Inventive step,2
Obviousness test,2
State of the art,4
Dosage of a patented compound,5
Balance or symmetry in patent law,6
,1
CNSrelated disease,2
epilepsy,1
neuropathic pain,2
selective Ttype calcium channel blocker,5
BIOLOGICAL EVALUATION,2
CA2 CHANNELS,2
DERIVATIVES,1
LOCALIZATION,1
SULFONAMIDES,1
DISCOVERY,1
POTENT,1
Innovation,1
Culture,1
Gravity model,2
Trust,1
Acceptance and tolerance,3
L26,1
O30,1
Z10,1
INTELLECTUAL PROPERTYRIGHTS,2
RESEARCHANDDEVELOPMENT,1
INNOVATION PERFORMANCE,2
GRAVITY MODEL,2
DIVERSITY,1
RELIGION,1
TECHNOLOGY,1
LANGUAGE,1
CULTURE,1
TRUST,1
heart rate variability,3
fractal,1
residual power spectrum,3
powerlaw function,2
acute myocardial infarction,3
POWERLAW BEHAVIOR,2
BEATRATE VARIABILITY,2
MIDDLEAGED PERSONS,2
PROGNOSTIC VALUE,2
ACUTEPHASE,1
MORTALITY,1
PREDICTOR,1
SPECTRUM,1
HEALTHY,1
TERM,1
firm growth,2
RD,1
quantile regression,2
pharmaceutical industry,2
GIBRATSLAW,1
INVERTEDU,1
EMPIRICALANALYSIS,1
INNOVATION,1
SIZE,1
COMPETITION,1
SMES,1
AGE,1
DISTRIBUTIONS,1
SCHUMPETER,1
RD and growth,3
Sequential innovation,2
Public RD,2
Patent laws,2
RESEARCHANDDEVELOPMENT,1
GROWTH,1
ECONOMICS,1
Schumpeterian Growth Theory,3
Inventions,1
Cumulative Innovations,2
Fundamental and Applied RD,4
RD Incentives,2
Intellectual Property Law,3
Public Sponsorship of RD,4
ENDOGENOUS GROWTH,2
BLOCKING PATENTS,2
MARKETSTRUCTURE,1
ECONOMICS,1
TOO,1
PATENTABILITY,1
UNIVERSITIES,1
EQUILIBRIUM,1
KNOWLEDGE,1
IMPACT,1
,1
ORGANIZATIONAL INNOVATION,2
PRODUCT INNOVATION,2
CHANGING WORLDS,2
VALUE CHAIN,2
MANAGEMENT,1
ADOPTION,1
CONVENTIONS,1
MARKET,1
COMPETITION,1
GOVERNANCE,1
,1
,1
,1
ANTITRUST,1
PROTECTION,1
EFFICIENCY,1
ECONOMICS,1
CONSUMER,1
COSTS,1
Corporate innovation,2
Director liability reduction,3
Korean market,2
INCENTIVES,1
OWNERSHIP,1
,1
,1
,1
INVENTORS,1
GROWTH,1
,1
,1
TRIPS Agreement,2
Access to medicines,3
East African Community,3
EAC and TRIPS flexibilities,4
Patent laws Kenya,3
Uganda,1
Tanzania,1
Rwanda,1
Burundi,1
ESSENTIAL MEDICINES,2
ACCESS,1
PATENTS,1
patent medicines,2
opioids,1
drug regulation,2
colonialism,1
South Africa,2
CAPE COLONY,2
OPIUM,1
RACISM,1
TRADE,1
,1
,1
Ownership,1
Corporate innovation,2
Antitrust law,2
COMPETITION,1
GROWTH,1
MERGER,1
FIRMS,1
Intellectual property rights,3
Bank loans,2
PATENT PROTECTION,2
CREDITOR RIGHTS,2
LAWS,1
INNOVATION,1
DETERMINANTS,1
MARKET,1
LIFE,1
Irish migration in the Middle Ages,6
interaction between the Irish and English,6
Irish colony,2
Anglicization,1
IRELAND,1
IPRs,1
antitrust,1
power of disposal of IPRs,5
essential facilities doctrine,3
IPR entitlement and misuse thereof,5
strategic patenting,2
,1
gene editing,2
CRISPRCas9,1
patents,1
regulation,1
interdisciplinary perspectives,2
ELSI,1
SYNTHETIC BIOLOGY,2
PROPERTYRIGHTS,1
PATENTS,1
SCIENCE,1
ENDONUCLEASE,1
CRISPRCAS9,1
CRISPRCAS9,1
Composite manufacturing technologies,3
Technological change,2
Technology trajectories,2
Performance improvement rates,3
FUNCTIONALAPPROACH,1
MOORES LAW,2
SCIENCE,1
EXTENSION,1
PROGRESS,1
TRENDS,1
Immunity,1
International organizations,2
The Netherlands,2
Right to a remedy,4
Collective labour law,3
,1
,1
ONACHIP,1
RECENT PROGRESS,2
,1
DUAL SGLT1SGLT2 INHIBITOR,3
IMPROVED GLYCEMIC CONTROL,3
GLUCAGONLIKE PEPTIDE1,2
GALACTOSE MALABSORPTION,2
POSTPRANDIAL GLUCOSE,2
RENAL IMPAIRMENT,2
CGLUCOSIDE,1
LX4211,1
POTENT,1
KIDNEY,1
Environmental protection regulation,3
Green innovation,2
Information disclosure,2
EMPIRICALEVIDENCE,1
PORTER HYPOTHESIS,2
INVESTMENT EVIDENCE,2
RISK EVIDENCE,2
FIRM,1
PERFORMANCE,1
COMPETITIVENESS,1
DISCLOSURE,1
INCENTIVES,1
EMISSIONS,1
Arbitral tribunal,2
Constitutionality,1
Generic drugs,2
Marketing authorisation,2
Patent nullity exception,3
Incidental competence,2
,1
,1
INTELLECTUAL PROPERTY,2
GENETICRESOURCES,1
NAGOYA PROTOCOL,2
OPPORTUNITIES,1
DISCOVERY,1
PATHWAY,1
ACID,1
LAW,1
Intraosseous myoepithelial carcinoma,3
MRI,1
Diffusionweighted imaging,2
PRIMARY INTRAOSSEOUS MYOEPITHELIOMA,3
DIFFUSIONWEIGHTED MRI,2
BONE,1
Metaverse,1
Intellectual property,2
Copyrights,1
Patents,1
Trademarks,1
Business,1
EXPERIENCE,1
,1
FORCED TECHNOLOGYTRANSFER,2
WTO LAW,2
US,1
CHINA,1
ECONOMICS,1
AUTONOMY,1
POLICY,1
,1
RIGHTS,1
Discrimination,1
Fake news,2
Religion,1
Covid,1
India,1
KNOWLEDGE SPILLOVERS,2
PATENT CITATIONS,2
GEOGRAPHY,1
LOCALIZATION,1
INSTITUTIONS,1
INFORMATION,1
VIOLENCE,1
TWITTER,1
LEGACY,1
RADIO,1
3D printing,2
Art 30 exceptions,3
COVID19,1
medical equipment,2
patent rights,2
right to repair,3
,1
Big data analytics,3
Hadoop MapReduce,2
legal decision making,3
machine learning,2
pharma patent validity,3
LAW,1
AI,1
Infringement of intellectual property right,5
Joint and several liability,4
Liability rule,2
Property rule,2
Platform liability,2
Seller liability,2
Trademark,1
K13,1
PRIVATE,1
DAMAGES,1
bioprospecting,1
Convention on Biological Diversity,4
Indigenous,1
intellectual property,2
Maori,1
Nagoya Protocol,2
PROPERTY,1
CULTURE,1
,1
,1
C14101BHGD01,1
chronic obstructive pulmonary disease,4
longacting muscarinic antagonist,3
pharmacokinetics,1
mass balance,2
tissue distribution,2
metabolism,1
LONGACTING BRONCHODILATORS,2
TIOTROPIUM,1
RISK,1
affordability,1
generic competition,2
global health,2
longacting medicines,2
low and middleincome countries,4
voluntary licensing,2
OPPORTUNITIES,1
FORMULATIONS,1
CHALLENGES,1
THERAPIES,1
PRODUCTS,1
Nuclear Receptors,2
ROR gamma t,3
Allosteric Modulators,2
Structure Elucidation,2
Drug Discovery,2
MODULATORS,1
REFINEMENT,1
TARGETS,1
networks,1
graphs,1
research and development,3
innovation,1
technological change,2
organizational studies,2
strategy,1
universities,1
BAYHDOLE ACT,2
AMERICAN UNIVERSITIES,2
RESEARCH PRODUCTIVITY,2
PATENT QUALITY,2
INNOVATION,1
DETERMINANTS,1
DISCONTINUITIES,1
BIOTECHNOLOGY,1
EXPERIENCE,1
SCIENCE,1
