Article Title,Keywords,Abstract,Publication Year,Research Areas,label
Trading in Information: On the Unlikely Correspondence Between Patents and Blackmail Law,Adverse selection; Appropriability problem; Blackmail; Patents; ECONOMIC-ANALYSIS; PROPERTY-RIGHTS,"This paper studies the problem of trading in information in two seemingly unrelated settings: inventive activity; and blackmail. In the former, a discoverer of some new information wishes to profit from it but may be deterred because the act of disclosure effectively makes the information public. Thus, legal protection of the information in the form of a patent is usually needed to allow the inventive process to proceed. Blackmail also involves trading in information; but because the transaction is between two parties who already know its content-the discoverer, and someone who wishes to keep it hidden-the appropriability problem is absent. The paradox of blackmail is why the blackmailer prefers to sell the information to the informed party rather than to the uninformed party (who actually values it more); this latter transaction would be legal. The resolution of the paradox provides the link to patent law, because the latter transaction does involve the appropriability problem.",2020,Business & Economics,1
Looking at Patent Law: Patenting an Electrochemically Mediated Oxidation Reaction on Electrode Arrays-A Case Study,Patent Law; Whacker oxidation; double patenting; electrochemically mediated; terminal disclaimer; ,"In this installment of the.Looking at Patent Law. articles, we present a case study of a patented invention for a method for conducting electrochemically mediated reactions on electrode arrays for massively parallel electrochemical synthesis. Notably, Prof. Kevin Moeller, a co-inventor on the subject patent, is a member-at-large of the Organic and Biological Electrochemistry (OBE) division of The Electrochemical Society (ECS).",2022,Electrochemistry,1
SCALPELS OVER SLEDGEHAMMERS: SAVING DIAGNOSTIC PATENTS THROUGH JUDICIAL INTERVENTION RATHER THAN LEGISLATIVE OVERRIDE,; ,"Diagnostic tests have become indispensable in the rapidly growing field known as precision medicine. Precision medicine tailors treatments to individual patients by using these diagnostic tests to identify how a patient may respond to different therapies. Diagnostics are expensive to develop but show promise in optimizing patient treatment and creating healthcare savings. Even as the medical community has heralded precision medicine as the way of the future, the Supreme Court and Federal Circuit have handed down a dizzying array of decisions regarding attempts to patent diagnostics and precision medicine techniques. Subsequently, courts have struggled to apply the test for patent eligibility, leaving the interpretation of patentable subject matter under 101 of the Patent Act in a state of chaos. This chaos has created concerns that diagnostics may be unpatentable, providing minimal protection or incentive for pharmaceutical companies to invest in their development. To rectify this confusion, legislators have proposed overhauling the longstanding Patent Act and rewriting the patent-eligibility statute altogether. This Note argues that these legislative attempts are misguided. Though some remedy for the current patent-eligibility test is required, that solution should come from the courts, not the legislature. Courts can use a dynamic and nuanced common law approach to create a standard that can adapt to the continuously evolving technologies and scientific advancements that seek patent protection. A legislative override, on the other hand, could leave the patent statute in as much chaos as before. A judicial refinement of the patent-eligibility test would allow for the patenting of meritorious diagnostics, providing the necessary innovation incentives for their continued development.",2021,Government & Law,1
"Law, Fact, and Patent Validity",; MIXED QUESTIONS,"Judges, not juries, typically decide questions of law. Likewise, it is judges who usually review the legality of actions taken by government agencies. And when judges orjuries decidefact-laden issues in civil litigation, those decisions commonly receive deference on appeal. Patent law, however, does all of this precisely backwards. In patent infringement cases, juries often decide the legal question of patent validity. When a jury rules on a patent's validity, it is reviewing the work of an administrative agency, the U.S. Patent and Trademark Office. And decisions on the case-specific, fact-specific issue of patent validity are reviewed de novo by the U.S. Court of Appeals for the Federal Circuit, which has exclusive jurisdiction over patent cases. These unusual features of patent litigation create significant inefficiencies: patent jury trials are expensive and jury decisions on technologically complex questions of patentability can be unpredictable; stringent standards of appellate review encourage prolonged litigation and result in costly postappeal do-overs. All of this occurs because the Federal Circuit has drawn a strict, bright line between questions of law and questions offact, leaving little room for a middle category of questions that require applying the law to the facts of a particular case. In most areas of law but not often in patent law those questions are called mixed questions of law and fact. This Article advances a simple thesis: that all questions ofpatent validity are, ultimately, mixed questions of law and fact. This approach would greatly simplify Federal Circuit doctrine, which currently treats some validity issues as questions of law, others as questions offact, and still others as questions of law based on underlyingfacts. It would also clarify ambiguities in Supreme Court precedent on the law-fact distinction in patent litigation, which similarly resists using the phrase mixed question. In addition, treating patent validity as a mixed question would improve the procedure of patent litigation in numerous ways: patent validity would be resolved in reasoned opinions by a judge rather than in the black box of a general jury verdict, those on-the-record judicial decisions would receive appropriate deference on appeal, and judicial review of Patent Office actions would be brought further into the mainstream of administrative law.",2021,Government & Law,1
An institutional view on the leverage of external patent law expertise and patenting performance: Insights from China,Patent strategy; Patent law expertise; Patenting performance; Intellectual property; RESEARCH-AND-DEVELOPMENT; INTELLECTUAL PROPERTY; TEAM DIVERSITY; INNOVATION; FIRM; STRATEGIES; MANAGEMENT; ADVANTAGE; SUPPLIER; ENTREPRENEURSHIP,"Drawing on the institutional setting in China, this study examines how firms seek legal resources and their effects on patenting performance in a weak and transitional intellectual property regime. We illustrate that due to weak protection of intellectual property rights in China, firms rely on external legal resources, which are found to be positively related to patenting performance in terms of the capability of external patent law expertise, but negatively related in terms of knowledge diversity. The marginal effect of the level of external patent law expertise on patenting performance is positive when research and development (R&D) invest-ment is low and negative when it is high, illustrating the negative interaction between R&D investment and the level of external patent law expertise. Furthermore, institutional pressure and support moderate the effect of the level of external patent law expertise on patenting performance. This study advances the under-standing of the impact of patent institutions on patent strategies in transition economies and provides novel implications for policy and patent management. (c) 2022 The Authors. Published by Elsevier Espana, S.L.U. on behalf of Journal of Innovation & Knowledge. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",2022,Business & Economics,1
The impact of the abolishment of the professor's privilege on European university-owned patents,University-owned patents; academic-invented patents; patent quality; patent management; patent value; technology transfer; TECHNOLOGY-TRANSFER; INNOVATION; ENTREPRENEURSHIP; INVENTION; QUALITY; OPPOSITION; OWNERSHIP; ACT,"Intellectual property regimes governing university inventions were quite diverse in Europe at the end of the 1990s. Several European countries maintained the so-called professor's privilege, an exception to employment law whereby university researchers were allowed to retain the ownership of academic inventions. The 2000s were characterised by convergence towards a more homogeneous system, in which university administrations took control of IP management. We investigate the impact of the reform and we observe a decline in the technological importance and the value of the patents owned and managed by universities in the countries abolishing the professor's privilege. On the contrary, by differentiating the academic patents by type of ownership, we find that the technological importance of academic patents owned by companies has instead increased. Our study produces some new results that may alert policymakers to the possible unintended consequences of the university ownership model.",2021,Business & Economics,1
The Fourth Amendment of Chinese Patent Law and Discussion on its Practical Effects,; ,"Through comparative study, case and data analysis, this article summarizes the key points of the fourth amendment of Chinese Patent Law, and analyses the expected practical significance. Meanwhile, this article also discusses the shortcomings of the new patent law after the fourth amendment, and puts forward some suggestions for further improvement and refinement. The purpose of the fourth amendment of Chinese Patent Law is mainly to make the Chinese patent system more in line with the current technological and economic development in China as well as international cooperative innovation. The core points of the fourth amendment include: (1) strengthening patent enforcement by adopting punitive damages to intentional patent infringement, and increasing the patent protection duration extension for new pharmaceuticals, etc. (2) Promoting patent implementation by adding 'Open Licence' rules and improving employees' invention regulations; (3) Improving design patent protection by expending protection duration and adopting protection for partial designs. (4) Increasing the provisions about the grace period for patent filings of inventions related to public interests. The new Patent Law 2020 will gradually show its significant practical effects. At the same time, however, there are still some regulations that need to be further clarified and refined for ensuring better implementation of the new law.",2023,Area Studies,1
INTERNATIONAL PATENT LAW AND ITS IMPLEMENTATION IN INDONESIA: CAN IT FACILITATE TECHNOLOGY TRANSFER?,Indonesian Patent Law; innovation; International Patent Law; technology transfer; TRIPs Agreement; ,"Background and Purpose: Indonesia has patent law for more than three decades and has made adjustments with the Trade related of Intellectual Property Rights (TRIPS) Agreement by revising such patent law several times with the aim of encouraging innovation and technology transfer as promised by the Agreement, but technological capacity and technology transfer are still low. The purpose of this study is to analyse whether the implementation of international patent law in Indonesia facilitates innovation and technology transfer to increase technological capacity. Methodology: This study used a normative legal research methodology. It used statutory and conceptual approaches. Both approaches were needed to analyse conceptual and theoretical works related to this topic and to examine consistency of applicable laws and policy. Legal resources and legal documents were analysed using descriptive qualitative analysis. Findings: This study found that the implementation of international patent law to promote innovation and technology transfer in Indonesia was still not easy to be seen because the Indonesian Patent Law was not designed comprehensively to promote innovation and technology transfer and lack of consistency of regulations and policies on technology transfer. It also paid less attention to facilitate international technology transfer. Contributions: This study suggests that Indonesia needs comprehensiveness and consistency of all prevailing laws and regulation related to technology transfer, research and development, particularly patent law, to fully use flexibility provided by the TRIPs Agreement to enhance national technological capacity and innovation.",2021,Area Studies,1
THE NEED FORA UNIFIED PATENT COURT,Unified patent court; European unitary patent; European patent convention; patent itigation; European patent system; ,"This article discusses the need of a Unified Patent Court, as a major contribution for the implementation of the European unitary patent. It begins by outlining the evolution of European patent rights and identifying the problems of the current system. Implementing a Unified Patent Court will be defended as a solution for one of the most important problems of the European patent: the lack of a central mechanism of jurisdictional control. The current model of jurisdictional control gives rise to a situation of great legal uncertainty and has diminished the value of European Union patent rights. We will analyse the virtues and disadvantages of the new European Unitary Patent resulting from the adoption of Regulations (EU) 1257/2012 and 1260/2012 and the Agreement on a Unified Patent Court.",2020,Government & Law,1
Does the Patents Act 1990 Protect Space Technology?,; ,"Australian intellectual property (IP) laws were legislated before any real prospect of the commercialisation of outer space. However, over the past decade, there has been an explosion in the number of commercial entities performing activities in outer space. For example, commercial space stations and in- orbit R&D facilities are currently in the planning and building stage for launch in the very near term. These activities require extensive research and development, and any IP generated needs to be protected as part of commercialisation strategies. However, the current legislation does not provide enough protection for space-related technology due to the limited extent of this legislation into outer space. This article explores the deficiencies of the Australian Patents Act for the protection of space- related technology.",2022,Government & Law,1
COVID-IP: staring down the Bayh-Dole Act with 2020 vision,food and drug law; intellectual property; ,"As the human and economic toll of the COVID-19 coronavirus steadily escalates, there is extreme uncertainty regarding the timeframe for prevention, detection, and treatment.(1) There is also concern about the eventual costs associated with approved products and the barriers to access created by the patent system. Industry, government, and academic collaborations are leading the charge in the discovery race, partnerships which have triggered calls for the activation of the federal governments so-called march-in rights established in the Bayh-Dole Act.(2) The Bayh-Dole Act dramatically altered the patent protections available to federally funded institutions and initiated a 40-year debate over appropriate incentives for innovation and the scope of the government's authority. The COVID-19 pandemic provides an opportunity to reflect on the purpose and impact of the historic legislation as well as contemplate the implications for our public health future. Patent rights for therapeutic compounds, methods of delivery, and medical diagnostics will significantly impact access to and cost of life-saving innovations. This article examines current calls for the U.S. government to utilize governmental march-in rights to quell concerns about patent monopolization and product pricing in the face of our current pandemic.",2020,Social Sciences - Other Topics; Government & Law; Medical Ethics; Legal Medicine,1
Statute of limitations rules in patent infringement litigation in China,; ,"center dot This article examines the statute of limitations applicable to patent infringement actions in China, highlighting open questions that will require legislative and judicial clarification over the coming years. center dot In 2020, the fourth amendment to the Chinese Patent Law introduced a 3-year limitation period, resolving the pre-existing discrepancy with the Civil Code. center dot However, several issues remain open to interpretation and in need of further clarification. These include the commencement of the limitation period, proof of actual or constructive knowledge of the infringement and of the identity of the infringer(s) and the applicable statute of limitations for acts of infringement occurred before the 2020 amendment.",2024,Government & Law,1
RELATIONSHIP BETWEEN THE TRADE RELATED ASPECTS OF INTELLECTUAL PROPERTY RIGHTS AGREEMENT AND THE CONVENTION ON BIOLOGICAL DIVERSITY: PROTECTION OF GENETIC RECOURSES,genetic resources; TRIPs Agreement; Convention on Biological Diversity; patent; disclosure of origin; ,"This paper analyzes the relationship between the provisions of the Convention on Biological Diversity and the Agreement on Trade -Related Aspects of Intellectual Property Rights in relation to genetic resources. The authors focus on different points of view on the interaction of these international treaties and concludes that there is a contradiction between their individual provisions, in particular, with respect to the use of genetic resources. Considerable attention is paid to the analysis of the provisions devoted to Article 27 of the TRIPS Agreement, which establishes the requirements for mandatory patenting of inventions, including microorganisms and macrobiological processes of cultivation of plants or animals. The provisions of the Convention on Biological Diversity regarding access to genetic resources and equitable sharing of benefits from their use are analyzed in detail. Specific proposals were made to amend the existing international documents to overcome the current contradiction between the TRIPS Agreement and the Convention on Biological Diversity, based on the results of the study.",2020,Social Sciences - Other Topics,1
Main Contents and Comment on the Invention Law of the Democratic People's Republic of Korea,Democratic People's Republic of Korea; Invention; Patent; Utility model; ,"On 20 January 2021, the Invention Law of the Democratic People's Republic of Korea was amended and supplemented by the Presidium of the Supreme People's Assembly of the DPR Korea. The law defines the system and orders governing the application, examination and protection of patents and inventor's certificates. The law provides a domestic legal guarantee to promote the development of science and technology of the country and encourage economic development in conformity with the requirements of international patent-related treaties. The paper provides a summary description and analysis of the DPR Korean invention law with an eye to patent-related multilateral treaties to which the country has acceded, patent-related documents of the WIPO and other countries' patent laws.",2022,Government & Law,1
Universities involvement in patent litigation: an analysis of the characteristics of US litigated patents,Patent litigation; Patent quality; University patents; BAYH-DOLE ACT; QUALITY; INNOVATION; DETERMINANTS; TECHNOLOGY; OPPOSITION; OWNERSHIP; ENTITIES; TROLLS,"Some recent patent infringement litigations initiated by universities have resulted in multi-million dollar damages and have attracted public attention and stimulated research especially among law scholars. In this paper, we build a brand new database that include patents filed by universities at the United States and Trademark Office (USPTO), their characteristics and, eventually, the information about whether they have been used in infringements lawsuits by universities in the years 1990-2019. Our study is articulated in two parts. First, we show that, although it is still a quite rare phenomenon, patent litigation involving universities has been significantly growing in the last 2 decades. Second, we study the characteristics of university patents that have been litigated vis-a-vis non-litigated university patents. In this respect, we find that public universities and non-US universities are less inclined to litigate their patents compared to private and US universities. In addition, we also find that patent quality is an important determinant in the decision of university litigation. This result holds for patents in the Electrical Engineering sector, which is traditionally prone to opportunistic litigation, and no matter what type of university involved (public vs private, or US vs non-US).",2022,Computer Science; Information Science & Library Science,1
Does the Chinese version of Bayh-Dole Act promote university innovation?,Bayh-dole act; Patents; University innovation; TECHNOLOGY-TRANSFER; INCENTIVES,"The Chinese version of Bayh-Dole Act (BD for short) refers to the ownership reform policy for patents arising from government funding research grants. We collected the policies of 31 985 project universities from 1998 to 2015 to explore the impact of the Chinese BD. Empirical evidence suggested that patent applications, patent approvals, patent durations, patent citations, and profits from technology transfer of the universities adopting the BD policy had increased significantly. The BD policy encouraged more researchers to disclose and commercialize their inventions and to pursue global patent filing strategies. Compared with the BD policy, the incentive effect of subsidies, tenure promotion and cash bonuses were relatively limited.",2021,Business & Economics,1
Gendered 'Objective' Patent Law: Of Binaries and a Singularity,; SOCIAL CONSTRUCTION; COMPUTER-SCIENCE; WOMEN INVENTORS; PROPERTY; BIOPIRACY; MOTHERS; WORK; GAP,"Patent law protects the technical. It is seemingly objective in terminology and application. Yet studies show that males are significantly more likely than females to be the inventors of patented inventions. Patenting is not objective, it is gendered. The reasons for this are multiple and include the fact that patent law itself, including its presumptions and interpretation, is gendered. This article examines how patent law reflects multiple gendered binaries, despite being drafted in ostensibly neutral terms. These serve to favour masculine modes and fields of creation, while ignoring and devaluing feminine knowledge and ways of knowing. We should be concerned that patent law is gendered because patents affect wealth distribution, what is invented and commercialized, and what information and knowledge is disseminated, built upon, and viewed as valuable. Thus, instead of embodying gendered binaries, the law should reflect a singularity - a unique point, where the system degenerates or diverges to recognize and encourage the multiplicity of ways in which invention and innovation can and do occur, beyond socially constructed binaries.",2020,Government & Law; Sociology,1
When stronger patent law reduces patenting: Empirical evidence,CAFC; entry; patent law; patent strategy; strategic patents; INTELLECTUAL PROPERTY-RIGHTS; INNOVATION; IMPACT; TECHNOLOGY; STRATEGIES; THICKETS; COURTS; ENTRY; FIRMS,"Research Summary Theoretically, stronger legal protection affects strategic portfolios in two ways. As each patent becomes more effective, the gain from multiple patents would be less, reducing the demand for patents (negative inframarginal effect). With the effective price of patent protection being lower, the demand for protection and patents would increase (positive marginal effect). The net effect is more likely to be negative in complex technology industries, and magnified by patent ownership fragmentation, manufacturing assets, technological competition, and size. Exploiting variation in the shift in patent law due to the Federal Circuit Appeals Court (CAFC), we find that the average increase in patent protection due to the CAFC led businesses to reduce strategic patenting by 23.3%, and the contingent effects accorded with the hypotheses. Managerial Summary How should businesses adjust patent portfolios to changes in the legal protection of patents? As each patent becomes more effective, the gain from multiple patents would be less, reducing the demand for patents. With the effective price of patent protection being lower, the demand for protection and patents would increase. The net effect is more likely to be negative where the stakes (costs of holdup or gain from exclusivity) are larger. Empirical evidence from strategic patenting by U.S. manufacturing businesses between 1986 and 1992 before and after changes in patent law due to the U.S. Court of Appeals for the Federal Circuit supports our propositions.",2023,Business & Economics,1
"'AI is not an Inventor': Thaler v Comptroller of Patents, Designs and Trademarks and the Patentability of AI Inventions",; ,"The increasing use of Artificial Intelligence (AI) technologies in inventive processes raises numerous patent law issues, including whether AI can be an inventor under law and who owns the AI-generated inventions. The UK Supreme Court decision in Thaler v Comptroller of Patents, Designs and Trademarks has provided an ultimate answer to this question: AI cannot be an inventor for the purposes of patent law. This note argues, first, that while such a human-centric approach to inventorship might discourage the use and development of AI technologies with autonomous invention capabilities, it will help retain an active human involvement in technologically supported inventive processes and continuously foster human ingenuity. Second, despite the Court focusing on what patent law is and not on what the law should be, the decision will be influential in the ongoing discussions on the future of patent law and will make it more difficult to expand patent law to incorporate non-human inventors. Third, the decision has opened, or revealed, the gaps in patent law that the emergence of AI technologies have created and for which new legal solutions will be needed, especially with relation to the ownership of AI-assisted inventions and the validation of inventorship claims.",2024,Government & Law,1
Comparative overview of innovation and patent filings in Radiopharmacy,Intellectual Property; Patent; Innovation; Radiopharmaceuticals; Nuclear medicine; DRUG DEVELOPMENT; REGULATIONS; PROTECTION; GUIDELINE,"Objective: To expose the current situation of the Brazilian Nuclear Medicine in relation to innovation, taking into account the Intellectual Property protection and the particularities of this field. Methods: The number and the origin of patents filings from Brazil, United States and European Patent Convention countries were retrospectively compared in a 20-year period. Results: The number of accumulated patents filings of conventional pharmaceuticals was ten times higher compared to the radiopharmaceuticals in the three regions studied. Conclusion: The largest number of Brazilian patents filings corresponded to the international patent applications, which is related to the country development conditions, as well as to the difficulties in the process of patent filing.",2020,General & Internal Medicine,1
Looking at Patent Law: The Impact of Electrochemical Science and Engineering on the Patent Literature,; ,"In this installment of the Looking at Patent Law articles, we illustrate a high-level perspective of the impact of electrochemical science and engineering on innovation and technology development, as evidenced by inclusion within the patent literature.",2022,Electrochemistry,1
Patent Trolls and the Market for Acquisitions,; MERGERS; FIRMS; TAKEOVER; RETURNS,"I study the effect of patent-infringement claims by patent trolls on acquisitions of small firms. Exploiting staggered adoption of state anti-patent troll laws, I find that the laws have two effects. First, the number of acquisitions of small firms declines after these laws are adopted. Second, the anti-troll laws increase the acquisition price for acquirers. The market reflects the increased cost of acquisition as measured by lower acquisition announcement returns. Large firms increase R&D after the adoption of state laws, replacing external innovation. Using a sample of acquisitions that are plausibly unaffected by the laws, I disentangle alternative explanations.",2023,Business & Economics,1
Fixing The FDA's Orange Book,; PATENTS,"The modern regime for balancing innovation and competition in pharmaceuticals was established through the Drug Price Competition and Patent Term Restoration Act of 1984, also known as the Hatch Waxman Act. This regime needs updating. The process that Hatch Waxman established for listing patents and challenging patents on the Food and Drug Administration's Orange Book is one important area for reform.",2022,Health Care Sciences & Services,1
"CARROTS, STICKS, AND SPACE PATENTS",; ,"Patents are essential for promoting scientific progress and innovation. However, the current framework for patents in outer space unduly disincentivizes U.S. patentees from obtaining patents. Importantly, these disincentives may hinder innovation for vital technologies relating to space. This Note explains why international collaboration is necessary to solve this problem and how the United States can incentivize international support for a space patent regime. Specifically, this Note advocates a patent regime consisting of a single set of substantive and procedural patent laws governing the distinct territory of space. First, Part I provides a background on current patent laws in space. Next, Part II explains how current law disincentivizes patenting and how an international patent regime could ameliorate these problems. Finally, Part III uses rational choice theory to explain how the United States could balance the competing interests of other states to create a functioning patent system for U.S. patentees.",2022,Government & Law,1
Section 1498(A) is Not a Rx to Reduce Drug Prices,; ,"On June 20, 2018, The New York Times published an editorial captioned How the Government Can Lower Drug Prices, announcing that a possible solution involves an obscure part of federal law known as Section 1498. The provision acts as a sort of eminent domain for patented inventions allowing the government to circumvent patent protections if the patent holder is compensated. In the case of a pharmaceutical, the Department of Health and Human Services (HHS) can authorize a drug maker to produce a low-cost generic version, which it would then buy in bulk.1 The authority cited by The New York Times for this proposition was a 2016 law review article published in the Yale Journal of Law & Technology (Yale Article).2 Fast forward to March 23, 2021. Within weeks of President Biden's inauguration, Senator Bernie Sanders delivered the Opening Statement at a Senate Committee on Health, Education, Labor, and Pensions Subcommittee hearing citing The New York Times editorial as support for the introduction of S. 909, the Prescription Drug Price Relief Act of 2021, proposed legislation that would authorize the HHS Secretary to infringe on pharmaceutical patents or require pharmaceutical patent owners to enter compulsory licenses at royalty rates established by HHS should those patent owners be found to have charged excessive rates for the drug in question.3 On February 17, 2022, Senators Elizabeth Warren and Angus S. King, Jr., with Congressman Lloyd Doggett, wrote a letter to HHS Secretary Xavier Becerra urging him to use  existing executive authority to lower drug prices.4 On March 24, 2022, eight public interest groups forwarded the HHS Secretary a Petition To Make Drugs More Affordable, citing the Yale Article.5 On April 22, 2022, Senator Warren again wrote to the HHS Secretary attaching an April 22, 2022 letter from over 25 legal and public health experts describing 28 U.S.C. 1498 as the government patent use power, i.e., a tool that can be used to intervene when patients and public health are harmed by excessive drug prices.6 The chief author of this letter is none other than one of the authors who penned the 2016 Yale Article. And, on June 23, 2022, eight Senators and 103 members of Congress sent a letter to the HHS Secretary to utilize... government use compulsory licensing under 28 U.S.C. 1498... to lower prescription drug prices.7 In light of the close margins in the 118th Congress, continued pressure on the executive branch to exert 28 U.S.C. 1498 (a) should be expected. In Richmond Screw Anchor Co. v. United States, 275 U.S. 331, 345 (1928), however, the United States Supreme Court held that the intention and purpose of Congress in the act of 1918 [(the predecessor to Section 1498)] was to stimulate contractors to furnish what was needed for [World War I], without fear of becoming liable themselves for infringements to inventors or the owners or assignees of patents. In 1949, Congress amended the Act of 1918 to precisely limit Section 1498(a) solely as a waiver of sovereign immunity to provide a private party with standing and a judicial forum in which to sue the government for patent infringement.8 No federal court, however, has held that the government has an absolute right to infringe privately held patent rights and therefore, historically, they have narrowly and strictly construed Section 1498(a), as we discuss below.",2022,Food Science & Technology; Government & Law; Nutrition & Dietetics; Pharmacology & Pharmacy,1
The Australian Best Method Doctrine: UK Roots and Lessons from US Law,; HISTORY; PATENTS,"Best method disclosure in a patent specification is a statutory requirement in Australia. The requirement was interpreted narrowly until 2016 when Les Laboratoires Servier v Apotex Pty Ltd was decided. A deep dive into the doctrinal development in the United Kingdom before 1977 and in the United States (US) before 2012 revealed that while the principles of quid pro quo social contract and public uberrima fide duty developed in the United Kingdom formed the common foundation for the United Kingdom, the United States and Australia, the best method doctrine developed under the 1949 British Act deviated from its original path and became unsuitable for Australia. In contrast, the US best mode doctrine and the current Australian best method doctrine are fundamentally similar. The US doctrine also offers a well -structured testing regime for assessing disclosure compliance. It is recommended that Australia adopts the US testing regime and amends s 40(2)(aa) of the Patents Act 1990 (Cth) to reflect the adoption.",2024,Government & Law,1
Copyrights for the technology transfer of government software,Copyright; Copyright Act of 1976; Federal agencies; Federal laboratories; Federal Technology Transfer Act of 1986; Government-owned contractor-operated (GOCO) laboratories; Government-owned government-operated (GOGO) laboratories; Government Works software; Invention licenses; Patents; Software; Software copyrights; Software licenses; Software patents; Technology transfer; ,"With only a few exceptions, U.S. copyright law does not allow copyrights for software created by the U.S. federal agencies' government-operated laboratories. This paper explains the public policy concern that the inability to copyright the software causes a barrier to the transfer of government software to the private sector. Using a survey of developers and managers of custom software developed within the federal agencies, the paper presents and interprets new evidence supporting the view that allowing copyright protection would dramatically increase the transfer of the technology.",2023,Engineering; Business & Economics,1
"CARROTS, STICKS, AND SPACE PATENTS",; ,"Patents are essential for promoting scientific progress and innovation. However, the current framework for patents in outer space unduly disincentivizes U.S. patentees from obtaining patents. Importantly, these disincentives may hinder innovation for vital technologies relating to space. This Note explains why international collaboration is necessary to solve this problem and how the United States can incentivize international support for a space patent regime. Specifically, this Note advocates a patent regime consisting of a single set of substantive and procedural patent laws governing the distinct territory of space. First, Part I provides a background on current patent laws in space. Next, Part II explains how current law disincentivizes patenting and how an international patent regime could ameliorate these problems. Finally, Part III uses rational choice theory to explain how the United States could balance the competing interests of other states to create a functioning patent system for U. S. patentees.",2022,Government & Law,1
Infrostructure(s): Administering Information,; LAW; CENSUS; RACE; FREEDOM; PATENTS; ACCESS; SYSTEM; RIGHTS,"This Article, Infrostructure(s): Administering Information, considers how authoritative entities generate, manage, and produce informational structures, facilities, and architectures that support market creation and creative economy decision-making between private parties and entities. The term infrostructure, as opposed to other terms, such as infostructure and infosphere, suggests that infrostructures play vital roles in modern democratic life including producing new information resources, facilitating private transactions between private parties, and building the administrative state.This Article is divided into two parts. Part I discusses how information regulation is mediated through information forms and information systems with a focus on the materialities of information forms and systems. Part I then turns to how the infrostructure is built through three legal acts: specialIntscript the act of instantiation, in which law culls certain information from a broader universe of social information to produce authoritative information; specialIntscript the act of relation, in which law produces and reproduces social relations in information; and specialIntscript the act of meaning, in which law considers the legal effects of instantiation and representation.Part II will demonstrate how the project of infrostructure helps us to present a new story of administrative legitimation, by re-reading diverse areas including administrative law, intellectual property law and constitutional law. Specifically, Part II examines how infrostructure supports three different accounts of administrative legitimation: structural legitimation, expertise legitimation, and cultural legitimation.",2023,Government & Law,1
The innovation consequences of mandatory patent disclosures,Patent disclosure; Innovation; Spillovers; Proprietary costs; Corporate disclosure; PUBLICATION; PROPRIETARY; INFORMATION; DIFFUSION; ECONOMICS; SHOULDERS; GIANTS; MARKET,"We investigate the effect of patent disclosures on corporate innovation. Using the American Inventor's Protection Act (AIPA) as a shock that increased patent disclosures, we find an increase in innovation for firms whose rivals reveal more information after the AIPA and a decrease in innovation for firms whose own disclosures are divulged to competitors as a result of the law. These findings suggest patent disclosures generate both spillover benefits and proprietary costs. Our findings provide justification for patent disclosure requirements by demonstrating positive externalities: rivals' disclosures facilitate a firm's innovation. However, we also highlight that mandatory patent disclosures can impose proprietary costs on firms. These results broadly contribute to our understanding of the real effects of disclosure, such that forcing firms to share proprietary information can be privately costly but beneficial to other firms.& nbsp; (C)& nbsp;2020 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2021,Business & Economics,1
MYTHS AND REALITY OF PATENT LAW AT THE SUPREME COURT,; FEDERAL CIRCUIT; INTELLECTUAL PROPERTY; PHOTOCOPIES; LITIGATION; CERTIORARI; SYSTEM; POLICY; RETURN; LIFE; BAR,"Over the past twenty years, patent cases have become a major component of the Supreme Court's shrinking docket. The Court's return to patent law after a long absence has inspired a rich literature theorizing about the Court's agenda and critiquing its decisions. Those analyses, though differing in their particulars, have given rise to numerous conventional wisdoms about the Supreme Court and patent law: that the Supreme Court distrusts the Federal Circuit (the specialized appellate court that has exclusive jurisdiction over patent cases), that the Court places far more trust in the Solicitor General (who represents the executive branch in Supreme Court litigation), and that, for better or worse, the Supreme Court is now a major institutional player in the patent system. But are those conventional wisdoms true? In this Article, we separate myth from reality by presenting a novel quantitative and qualitative study of all patent -related Supreme Court cases since 1982, the year the Federal Circuit began operating. Our study questions whether many of the patent cases decided by the Court have actually been important. Instead, we show that most of the Court's patent -related cases have involved issues far from the substantive core of patent law and are rarely cited by the Federal Circuit. Assessing the Court's impact on patent law, we argue, requires focusing on a small subset of decisions involving the core doctrines of patent validity and infringement. In those decisions, the Supreme Court has been surprisingly deferential to the Federal Circuit. The cases in which the Federal Circuit has performed poorly (at least in the eyes of the Supreme Court) cluster around issues of jurisdiction, procedure, and remedies. We also identify specific types of patent-related cases in which the Solicitor General wins far less frequently than usual. Testing other patent myths, we find support for the notions that the Supreme Court prefers malleable standards over bright -line rules and that the Supreme Court is less favorable for patent owners than the Federal Circuit. But we also find that Justice Breyer, often cited as the force behind the Court's growing patent docket, did not have an abnormally large influence over patent law. Similarly, specialist Supreme Court litigators, though increasingly involved in patent cases, don't seem to fare any better (or worse) than other lawyers in patent cases. In brief, our findings confirm some conventional wisdoms about the Supreme Court and patent law, disprove others, and offer a glimpse of patent law's future.",2024,Government & Law,1
