Article Title,Keywords,Abstract,Publication Year,Research Areas
Forced technology transfer policies: Workings in China and strategic implications,Forced technology transfer policy; Foreign-domestic technology transfer; China; Strategy; Thematic analysis; Risk forecasting; RESEARCH-AND-DEVELOPMENT; INTELLECTUAL PROPERTY-RIGHTS; EMERGING ECONOMIES; INNOVATION; INTERNATIONALIZATION; INDUSTRIES; REGIMES; PATENT; MARKET; ENTRY,"This paper evaluates the ability of forced technology transfer (FTT) policies - i.e., policies meant to increase foreign-domestic technology transfer that simultaneously weaken appropriability of foreign innovations - to contribute to technology transfer. We focus on transfer of frontier technology in China's newly designated strategic emerging industries (SEIs). Drawing on a survey of foreign firms, extensive interviews with foreign firms, and case studies of Chinese firms, we identify three categories of FTT policies in SEIs: lose the market, no choice, and violate the law policies. Our thematic analysis finds that FTT policies likely exert the most leverage over (i.e., force) frontier technology transfer when accompanied by seven conditions: (1) strong state support for industrial growth, (2) oligopoly competition, (3) other policies closely complementing FTT policies, (4) high technological uncertainty, (5) policy mode of operation offering basic appropriability and tailored to industrial structure, (6) reform avoidance by the state, and (7) stringent policy compliance mechanisms. We develop a Strategy & Risk Matrix to forecast the overall leverage of individual FTT policies. We conclude that Chinese FTT policies may enable domestic acquisition of frontier foreign technology if all seven conditions determining policy leverage are fully exploited by the state. However, if this is not the case, the policies have weaker leverage and may even discourage technology transfer.",2018,Business & Economics; Public Administration
CREATING AROUND COPYRIGHT,; INTELLECTUAL PROPERTY NORMS; FAIR-USE; INNOVATION; PATENT; CONSTRAINTS; ECONOMICS; WORK; IMAGINATION; INCENTIVES; STATEMENTS,"It is generally understood that the copyright system constrains downstream creators by limiting their ability to use protected works in follow-on expression. Those who view the promotion of creativity as copyright's mission usually consider this constraint to be a necessary evil at best and an unnecessary one at worst. This conventional wisdom rests on the seemingly intuitive premise that more creative choice will deliver more creativity. Yet that premise is belied by both the history of the arts and contemporary psychological research on the creative process. In fact, creativity flourishes best not under complete freedom, but rather under a moderate amount of restriction. Drawing from work in cognitive psychology, management studies, and art history; this Article argues that contemporary copyright discourse has overlooked constraint's generative upside. The Article unpacks the concept of constraint into seven characteristics: source, target, scope, clarity, timing, severity, and polarity. These characteristics function as levers that determine a given constraint's generative potential. Variation in that potential provides an underappreciated theoretical justification for areas in which copyright law is restrictive, such as the exclusive derivative work right, as well as areas where it is permissive, such as the independent creation and fair use defenses. The Article reveals that the incentives versus access debate that has long dominated copyright theory has misunderstood the relationship between creativity and constraint. Information may want to be free, but creativity does not.",2015,Government & Law
Innovation Policy Pluralism,; INTELLECTUAL PROPERTY; BAYH-DOLE; PUBLIC RESEARCH; MARKET POWER; INCENTIVES; PATENTS; PRIZES; RULES; INSTRUMENTS; COMPETITION,"When lawyers and scholars speak of intellectual property, they are generally referring to a combination of two distinct elements: an innovation incentive that promises a market-based reward to producers of knowledge goods, and an allocation mechanism that makes access to knowledge goods conditional upon payment of a proprietary price. Distinguishing these two elements clarifies ongoing debates about intellectual property and opens up new possibilities for innovation policy. Once intellectual property is disaggregated into its core components, each element can be combined synergistically with non-IP innovation incentives such as prizes, tax preferences, and direct spending on grants and government research, or with non-IP allocation mechanisms that promote broader access to knowledge goods. In this Article, we build a novel conceptual framework for analyzing combinations of IP and non-IP policy mechanisms and present a new vocabulary to characterize those combinations. Matching involves the pairing of an IP incentive with a non-IP allocation mechanism-or, vice versa, the pairing of a non-IP incentive with IP as an allocation strategy. Mixing entails the use of IP and non-IP tools on the same side of the incentive/allocation divide: i.e., the use of both IP and non-IP innovation incentives, or of IP and non-IP allocation mechanisms. Layering refers to the use of different policies at different jurisdictional levels, such as using non-IP innovation incentives and allocation mechanisms at the domestic level within an international legal system oriented around IP. After setting forth this framework, we identify reasons why different combinations of IP and non-IP tools may be optimal in specific circumstances. Our project is not merely theoretical: we argue that pluralism - the combination of IP and non-IP policies-provides a more descriptively accurate account of the innovation policy landscape than those that dominate the existing literature. Governments routinely, though often unwittingly, incorporate strategies of matching, mixing, and layering into their innovation policies. Even in the pharmaceutical industry-a sector sometimes described as the poster child for the pure IP patent system-the United States and other countries rely on complex combinations of IP and non-IP elements at the domestic level, all layered within an international IP system that apportions the costs of knowledge production across countries. Dissecting and reassembling the elements of this knowledge-production system reveals a richer menu of possibilities for IP reform, with potential applications to property law more broadly.",2019,Government & Law
Impact of pyridine-2-carboxaldehyde-derived aroylhydrazones on the copper-catalyzed oxidation of the M112A PrP103-112 mutant fragment,Aroylhydrazones; Human prion protein; Copper(II); Methionine oxidation; Oxidative stress; PRION PROTEIN; METHIONINE OXIDATION; METAL-IONS; BINDING; IRON; COORDINATION; PARKINSONS; ALZHEIMERS; COMPLEXES; HYDRAZONE,"Misfolded prion protein (PrPSc) is known for its role in fatal neurodegenerative conditions, such as Creutzfeldt-Jakob disease. PrP fragments and their mutants represent important tools in the investigation of the neurotoxic mechanisms and in the evaluation of new compounds that can interfere with the processes involved in neuronal death. Metal-catalyzed oxidation of PrP has been implicated as a trigger for the conformational changes in protein structure, which, in turn, lead to misfolding. Targeting redox-active biometals copper and iron is relevant in the context of protection against the oxidation of biomolecules and the generation of oxidative stress, observed in several conditions and considered an event that might promote sporadic prion diseases as well as other neurodegenerative disorders. In this context, ortho-pyridine aroylhydrazones are of interest, as they can act as moderate tridentate ligands towards divalent metal ions such as copper(II). In the present work, we explore the potentiality of this chemical class as peptide protecting agents against the deleterious metal-catalyzed oxidation in the M112A mutant fragment of human PrP, which mimics relevant structural features that may play an important role in the neurotoxicity observed in prion pathologies. The compounds inhere studied, especially HPCFur, showed an improved stability in aqueous solution compared to our patented lead hydrazone INHHQ, displaying a very interesting protective effect toward the oxidation of methionine and histidine, processes that are related to both physiological and pathological aging.",2019,Biochemistry & Molecular Biology; Chemistry
FROM EDITORS TO ALGORITHMS A values-based approach to understanding story selection in the Facebook news feed,algorithmic curation; algorithms; content analysis; critical algorithm studies; Facebook; material culture analysis; news information; news values; MEDIA; COVERAGE; POWER; BIAS,"Facebook's News Feed is an emerging, influential force in our personal information flows, especially where news information is concerned. However, as the News Feed's story selection mechanism starts to supplant traditional editorial story selection, we have no window into its story curation process that is parallel to our extensive knowledge of the news values that drive traditional editorial curation. The sensitive, trade-secret nature of the News Feed and its constant updates and modifications make a traditional, computer science-based examination of this algorithmic giant difficult, if not impossible. This study takes an alternative approach, using a content analysis of Facebook's own patents, press releases, and Securities and Exchange Commission filings to identify a core set of algorithmic values that drive story selection on the Facebook News Feed. Informed by the principles of material culture analysis, it ranks these values to create a window into Facebook's curation process, and compares and contrasts Facebook's story selection values with traditional news values, examining the possible consequences of one set of values supplanting the other. The study finds a set of nine News Feed values that drive story selection: friend relationships, explicitly expressed user interests, prior user engagement, implicitly expressed user preferences, post age, platform priorities, page relationships, negatively expressed preferences, and content quality. It also finds evidence that friend relationships act as an overall influence on all other story selection values.",2017,Communication
Real Time Eye Blink Extraction Circuit Design from EEG Signal for ALS Patients,Amyotrophic lateral sclerosis (ALS); Electroencephalogram (EEG); Eye blinks; Brain-computer interface (BCI); Brain waves; COMMUNICATION; ARTIFACT; REMOVAL; QUALITY; SYSTEM,"The paper explores the detail design of electroencephalogram (EEG) based eye blink circuit module for Amyotrophic Lateral Sclerosis (ALS) patients using the Multisim Circuit design software. The EEG gives information about physiological function. It is the recording of electrical activity of the brain waves. The brain wave signal is a random, frequency domain and non-stationary signal. It is not easy to get the information from EEG signals in the time domain. Some biological artifacts (Eye blink artifacts, EMG artifacts and ECG) and technical artifacts (amplitude artifact, noise present in the power source artifact etc.) are the some artifacts in EEG signals. Eye blinks is considered as one of the important artifact for feature extraction of EEG signal. Hence, Eye blinks act as control or input signal in this paper. The goal of this paper is tracking an eye blink of a person from EEG signal sequences and extracts only intentionally eye blinks. In this work the patient EEG data is acquired, amplified and filtered. The filtered data is compared with the reference voltage level of the eye blink signal. In this way the eye blinks are extracted from ALS patient EEG data. Thus, The EEG based eye blink extraction circuit for ALS patient has been successfully designed and simulated on Multisim circuit design software. The future goal is to establish a communication channel for the patents suffering from motor disabilities using this biological artifact.",2018,Engineering
Biosimilar uptake by British local formularies: a cross sectional study,Biosimilars; Biological medicines; Great Britain; Local formularies; THINK,"Background Biological medicines are starting to lose their patent protection, so similar, inexact copies (biosimilars) are being developed and licensed. The high acquisition costs of biologics for healthcare providers could be reduced by switching to biosimilars, thus alleviating budgetary pressures and increasing patient access. Therefore, the acceptance of biosimilars by prescribers in Great Britain (GB; England, Scotland, Wales) needs to be described and understood. Objective To determine uptake of the first wave of biosimilars (somatropin, epoetin, filgrastim) by local formularies (lists of preferred medicines for prescribing in local healthcare settings). Settings This study targeted local formularies in GB. Method In November 2014, local formularies (medicines formularies of Acute Trusts and Health Boards in GB) were screened for their approach to listing of biologics and their biosimilars as well as recommendations on usage of these pharmaceuticals. Main Outcomes Measures Listing frequencies of biosimilars. Results One hundred and forty-six British local formularies were screened. Amongst the 80% of formularies in which brand names were specified, biosimilar filgrastim was the most frequently listed when compared to the other targeted biosimilars. Biosimilars were listed in preference to reference biologic medicine in 49% of local formularies for filgrastim, 11% for somatropin and in only 6% for epoetin. Conclusion Although the market for biosimilars can act in parallel to the generic market, their uptake measured using local British formularies was less than what is expected given that the British market for medicines has a strong focus on generics. Finally, geographical variability within GB requires further investigation.",2017,Pharmacology & Pharmacy
Imaginaries of Invention Management: Comparing Path Dependencies in East and West Germany,invention management; patents; sociotechnical imaginaries; path dependency; technology transfer; Germany; comparison; UNITED-STATES; SCIENCE; UNIVERSITIES; INNOVATION; TECHNOLOGY; GOVERNANCE; IMPACT,"The ways in which societies and institutions institutionalize and practice invention management reflects not only how new ideas are valued, but also imaginaries about the role of science and technology for societal development. Often taking the US Bayh-Dole-Act as a model, many European states have recently implemented changes in how inventions at academic institutions are to be handled to optimize their societal impact. We analyze how these changes have been taken up-and made sense of-in regions with different pre-existing infrastructures, practices and semantics of invention management. For doing so, we build on a comparative analysis of continuities and changes in infrastructures, practices and semantics of invention management in North-Rhine Westphalia (NRW, a former Western state) and Saxony (a former GDR state) to reflect on how academic institutions have been handling inventions along transforming socio-political contexts. Building on document analysis and qualitative interviews with research managers, we discuss ongoing differences in practices of invention management and the semantic framing of the societal value of inventions in NRW and Saxony, and discuss how this can be understood before the background of their ideological, political and economic separation until reunification in 1990. Joining the conceptual perspectives of path dependencies and sociotechnical imaginaries, we argue that two critical incidents in the history of these states (the reunification in 1990 and a legal change in 2002) allowed for wide-ranging institutional alignments, but also allowed path dependencies in practices and semantics of invention management to prevail.",2018,Education & Educational Research; History & Philosophy of Science; Social Sciences - Other Topics
"Internal migration, regional labor markets and the role of agglomeration economies",; INCREASING RETURNS; GROWTH; MODELS; INNOVATION; DIVERSITY; GEOGRAPHY,"We analyze the determinants and regional implications of internal migration flows across Danish municipalities in 2006-2012. Besides assessing the role of labor market and housing market factors in driving a region's net migration rate, we particularly focus on agglomeration factors identified by new migration theories related to regional growth models and the new economic geography. The work contributes to the field in the following way: we extend the scarce literature on the different channels through which agglomeration economies act as an attractor for mobile labor. Moreover, we account for the role of space-time dynamic adjustment processes and simultaneity among migration and labor market variables and finally test for heterogeneity in the migration response to regional labor market disparities among low- and high-skilled migrants. Our results support the view that agglomeration economies are indeed key drivers of internal migration flows in Denmark. That is, while we obtain mixed evidence with regard to the role of traditional labor and housing market variables, most of the included proxies for agglomeration economies such as the region's population density, patent intensity, endowment with human capital as well as the region's employment share of knowledge-intensive services are positively correlated with the region's net in-migration rate. Regarding the regional implications of internal migration flows, the results hint at a process of cumulative causation for the time period of analysis running from agglomeration economies to the inflow of mobile labor and subsequent regional income development.",2015,Business & Economics; Environmental Sciences & Ecology; Geography; Public Administration
Global Access to Maize Germplasm Provided by the US National Plant Germplasm System and by US Plant Breeders,; GENETIC-RESOURCES; DENT CORN; GREEN-REVOLUTION; DIVERSITY; IMPROVEMENT; PROTECTION; INBREDS,"Access to high-yielding germplasm increases agricultural productivity. Plant Variety Protection (PVP) is the most globally used form of Intellectual Property Protection. Commercially available varieties protected solely by PVP can be accessed for further breeding within the country or region of protection. Unlike the practice in most other countries, the USDA has a policy of providing parental inbred lines of hybrids into the public domain following expiration of their protection by PVP. Parental lines and varieties protected by utility patents are also available in the public domain following expiration of protection. These distributions represent fresh opportunities for researchers, hybrid seed producers and plant breeders, nationally and internationally. As a contribution to the continuing debate over ownership and access to plant germplasm we report distributions of maize (Zea mays L.) by the US National Plant Germplasm System (NPGS). During 1988-2015 the NPGS distributed 251,926 packets to 7,582 requestors, fulfilling 10,432 orders. Distributions were primarily to US entities (87%), with 32,520 (13%) to a total of 79 foreign countries. Of the total NPGS maize distributions reported here, 45,968 (18%) were expired or off-PVP germplasm. We hope that access provided to this germplasm will act as a reminder that the primary benefit of the Multilateral System under the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) is indeed that of having facilitated global access to germplasm and that this concept will remain an important guiding principle during further implementation of the Treaty.",2016,Agriculture
Prioritization of high-cost new drugs for HCV: making sustainability ethical,Hepatitis C; Cirrhosis; Hepatocellular carcinoma; Direct acting antivirals; Distributive justice; Access to care; Prioritization; Ethics; HEPATITIS-C VIRUS; SUSTAINED VIROLOGICAL RESPONSE; LIVER FIBROSIS PROGRESSION; INFECTION; INTERFERON; THERAPY; IMPACT; BOCEPREVIR; CIRRHOSIS; RATES,"Hepatitis C virus (HCV) infection is a major health problem worldwide. Chronic HCV infection may in the long run cause cirrhosis, hepatic decompensation and hepatocellular carcinoma, with an ultimate disease burden of at least 350,000 deaths per year worldwide. The new generation of highly effective direct acting antivirals (DAA) to treat HCV infection brings major promises to infected patients in terms of exceedingly high rates of sustained virological response (SVR) but also of tolerability, allowing even the sickest patients to be treated. Even in the face of the excellent safety and efficacy and wide theoretical applicability of these regimens, their introduction is currently facing cost and access issues denying their use to many patients in need. Health systems in all countries are facing a huge problem of distributive justice, since while they should guarantee individual rights, among which the right to health in its broader sense, therefore not limited to healing, but extending to quality of life, they must also grant equal access to the healthcare resources and keep the distribution system sustainable. In the face of a disease with a relatively unpredictable course, where many but not of all chronically infected will eventually die of liver disease, selective allocation of this costly resource is debatable. In most countries the favorite solution has been a stratification of patients for prioritization of treatment, which means allowing Interferon-free DAA treatment only in patients with advanced fibrosis or cirrhosis, while keeping on hold persons with lesser stages of liver disease. In this report, we will perform an ethical assessment addressing the issues linked to access to new therapies, prioritization and eligibility criteria, analyzing the meaning of the term distributive justice and the different approaches that can guide us (individualistic libertarianism, social utilitarianism and egalitarianism) on this specific matter. Even if over time the price of new DAA will be reduced through competition and eventual patent expiration, the phenomenon of high drug costs will go on in the next decades and we need adequate tools to face the problems of distributive justice that come with it.",2016,Pharmacology & Pharmacy
The Mental Health Parity and Addiction Equity Act evaluation study: Impact on specialty behavioral healthcare utilization and spending among enrollees with substance use disorders,Behavioral health care; Policy evaluation; Commercial health insurance; Claims data; Substance use disorder; FEDERAL PARITY; SERVICES; ABUSE; COMORBIDITY; PREVALENCE; ILLNESS; LIMITS,"Background: The federal Mental Health Parity and Addiction Equity Act (MHPAEA) sought to eliminate historical disparities between behavioral health and medical health insurance benefits among the commercially insured. This study determines whether MHPAEA was associated with increased BH expenditures and utilization among a population with substance use disorder (SUD) diagnoses. Methods: Claims and eligibility data from 5,987,776 enrollees, 2008-2013, were obtained from a national, commercial, managed behavioral health organization. An interrupted time series study design with segmented regression analysis estimated time trends of per-member-per-month (PMPM) spending and use before (2008-2009), during (2010), and after (2011 2013) MHPAEA compliance. The study sample contained individuals with drug or alcohol use disorder diagnosis during study period (N = 2,716,473 member-month observations). Outcomes included: total, plan, patient out-of-pocket spending; outpatient utilization (assessment/diagnostic evaluation visits; medication management; individual, group and family psychotherapy, and structured outpatient care); intermediate care utilization (day treatment; recovery home and residential); and inpatient utilization. Results: Starting at the beginning of the post-parity period, MHPAEA was associated with increased levels of PMPM total and plan spending ($25.80 [p = 0.01]; $2833 [p = 0.00], respectively), as well as the number of PMPM assessment/evaluation, individual psychotherapy, and group psychotherapy visits, and inpatient days (0.01 visits [p = 0.01]; 0.02 visits [p = 0.01]; 0.01 visits [p = 0.03]; 0.01 days [p = 0.01], respectively). Following these initial level changes, MHPAEA was also associated with monthly increases in PMPM total, plan, and patent out-of-pocket spending ($2.56/month [p = 0.00]; $2.25/month [p = 0.00]; $027 [p = 0.03], respectively), as well as structured outpatient visits and inpatient days (0.0012 visits/month [p = 0.01]; 0.0012 days/month [p = 0.00]). Conclusion: MHPAEA was associated with modest increases in total, plan, and patient out-of-pocket spending and outpatient and inpatient utilization. These increases, while modest in magnitude, are larger in magnitude than increases detected among a sample of all enrollees (i.e. not only those with SUD diagnoses). Published by Elsevier Inc.",2017,Psychology; Substance Abuse
Sofosbuvir based therapy in Hepatitis C patients with and without cirrhosis: Is there difference?,Chronic hepatitis C; Cirrhosis of liver; Sofosbuvir; Sustained viral response; ACTING ANTIVIRAL THERAPY; GENOTYPE 3 INFECTION; DECOMPENSATED CIRRHOSIS; PLUS RIBAVIRIN; REGIMENS; IMPACT,"Objective: To compare sustained viral response to sofosbuvir/ribavirin +/- interferon therapy in patients of hepatitis C with and without liver cirrhosis. Methods: This observational study of chronic hepatitis C patients was carried out at Doctors Hospital and Medical Center (DH&MC). After diagnostic workup, Sofosbuvir/ribavirin for 24 weeks or sofosbuvir/ribavirin/pegylated interferon for 12 weeks were prescribed. Primary outcome was negative HCV RNA by PCR 12 weeks after treatment completion (SVR 12). Chi square chi(2) and student's t test were used to analyze data. Results: Of 216 patients included, liver cirrhosis was present in 112 (51.9%) patients and 69(31.9%) were treatment experienced. Liver disease was decompensated in 37 (17.1%) patients. Of 206 patient who completed study protocol, 173(83.1%) achieved SVR12, 89.2% (25/28) with triple therapy and 82.2% (148/180) with sofosbuvir/ribavirin therapy. Treatment response was similar between treatment naive 86.2% (119/138) and treatment experienced 79.4% (54/68) patents. (p value 0.19) SVR12 was inferior in cirrhosis patients 75.4% (80/106) as compared to those with no cirrhosis 93% (93/100) (p value < 0.000). It was even lesser in those with decompensated liver disease 68.8% (24/35) (p value < 0.000). Conclusion: Treatment outcome with sofosbuvir/ribavirin combination therapy in cirrhosis patients is suboptimal especially in those with decompensation as compared to patients without liver cirrhosis.",2017,General & Internal Medicine
Influence of Nanocellulose Additive on the Film Properties of Native Rice Starch-based Edible Films for Food Packaging,Food packaging; rice starch; edible film; nanocomposite; nanocellulose; water vapour permeability; tensile strength; film solubility; film colour; CELLULOSE NANOCRYSTALS; NANOCOMPOSITE FILMS; PHYSICOCHEMICAL PROPERTIES; MECHANICAL-PROPERTIES; BARRIER PROPERTIES; THERMOPLASTIC STARCH; CASSAVA STARCH; BANANA; EXTRACTION; BIOPOLYMER,"Background & Objective: Starch-based edible films, which are transparent, odourless, biodegradable, tasteless, and semi-permeable to gases and food additives, have attracted the attention of the research community as the alternative food packaging materials to synthetic plastics. However, they pose poor water resistance and mechanical strength that should be improved for food packaging application. Few relevant patents to the topic have been reviewed and cited. Methods: Inclusion of nanoadditives in starch films can not only improve their mechanical and barrier properties but also can act as antimicrobial agent, oxygen scavenger, and biosensor. The present investigation is focussed on the effects of nanocellulose extracted from banana pseudostems on the film properties of rice starch-based edible films. Nanocellulose was extracted from dried banana pseudostems through isolation of cellulose and acid hydrolysis. Rice starch-based edible films were prepared through solution casting by adding nanocellulose of varying concentrations (0%, 2%, 4%, 6%, 8% & 10%). Results: The film properties, such as Water Vapour Permeability (WVP), mechanical strength (tensile strength, Young's modulus and percentage of elongation), film solubility in water and film colour, were determined. The test results were discussed and the effects of nanocellulose additives were studied. Conclusion: From the results, it was clear that the addition of nanocellulose had improved the film properties, making the rice starch-based edible films a promising choice for food packaging applications.",2019,Science & Technology - Other Topics; Materials Science; Physics
The influence of natural functional clothing on some biophysical parameters of the skin,functional clothing; herbs; dermatoses; microencapsulation; natural fibers; natural dyeing; FIBERS,"The objectives of the study were to develop functional natural fiber clothing with microcapsules containing active herbal extracts with properties enhancing the treatment of dermatoses and to confirm the efficiency of the clothing's activity by testing its effect on the biophysical parameters of human skin. As a result of the work, clothing enriched with green tea and Viola tricolor extracts enclosed in ethyl cellulose microcapsules was produced. The microcapsules were applied on the inner surface of linen knitted fabric, which ensured direct contact of the active substances with the patients' affected skin. The efficiency of the clothing was tested according to our own methodology, which included wearing tests, microbiological tests of the skin and tests of skin moisture, transepidermal water loss and itching intensity. Also, the effect of the active substances present on the fabrics on the in vitro culture of human keratinocytes was evaluated. The test results confirmed that linen clothing enriched with medicinal plant extracts enclosed in microcapsules had an effect on the reduction of itching intensity, an increase in skin moisture, reduction of transepidermal water loss and a reduction of pathogenic bacterial colonies residing on the patients' skin. They confirmed that the new method of administering herbal substances to the skin of dermatological patients via the wearing of functional clothing is effective and leads to symptom relief. The studies allowed for the filing of a patent submission, number P 411869, titled The clothing acting as a dressing supplement in the therapy of dermatological diseases.",2019,Materials Science
Drivers and Barriers to Drug Discovery: Insights from a Cross-sectional Survey,Drug discovery; Eroom's law; Innovation systems; Pharmaceutical innovation; R&D trend; Survey; RESEARCH-AND-DEVELOPMENT; INNOVATION SYSTEMS; FAILURE; RATES,"Motivated by stagnant new drug approval rates, this study explores the drivers and barriers to drug discovery to extract policy-relevant advice. As part of a doctoral dissertation, an online survey was administered to drug discovery experts between July and November 2017. Respondents came from patents, startup managers/founders, conference speakers, consultants, and LinkedIn profiles, contingent on finding respondent emails from a web search. Respondents ranked drivers and barriers to drug discovery and judged R&D and drug approval trends. Pooling responses based on frequency of mentions, indicate that respondents deem skilled R&D scientists, R&D investments, and good R&D management as the top three drivers of drug discovery. The depth of specialized knowledge is mentioned more than the diversity of knowledge available to the discovery team. Likewise, complex clinical trials, companies pursuing the same drug targets, and designing drug substances with a single or narrow therapeutic benefits are top ranked barriers to drug discovery. The majority view is that R&D spending has been stagnant for the past decade. New drug approval trend is judged to be improving in the past 5 years. Ninety percent of respondents believe their responses are generalizable to other therapeutic areas, indicating instrument's validity in capturing general drug discovery issues. There are traces of hard and soft institutional problems, firm capability development failures, networking failures, and institutional rigidities (i.e., lock-in failures) in the drug discovery innovation system.",2019,Pharmacology & Pharmacy
"Copyright Trolling, An Empirical Study",; JOHN,"This detailed empirical and doctrinal study of copyright trolling presents new data showing the astonishing rate of growth of multi-defendant John Doe litigation in United States district courts over the past decade. It also presents new evidence of the association between this form of litigation and allegations of infringement concerning pornographic films. Multi-defendant John Doe lawsuits have become the most common form of copyright litigation in several U.S. districts, and in districts such as the Northern District of Illinois, copyright litigation involving pornography accounts for more than half of new cases. This Article highlights a fundamental oversight in the literature on copyright trolls. Paralleling discussions in patent law, scholars addressing the troll issue in copyright have applied status-based definitions to determine who is, and is not, a troll. This Article argues that the definition should be conduct-based. Multi-defendant John Doe litigation should be considered copyright trolling whenever it is motivated by a desire to turn litigation into an independent revenue stream. Such litigation, when initiated with the aim of turning a profit in the courthouse as opposed to seeking compensation or deterring illegal activity, reflects a kind of systematic opportunism that fits squarely within the concept of litigation trolling. This Article shows that existing status-based definitions of copyright trolls do not account for what is now arguably the most prevalent form of trolling. In addition to these empirical and theoretical contributions, this Article shows how statutory damages and permissive joinder make multi-defendant John Doe litigation possible and why allegations of infringement concerning pornographic films are particularly well-suited to this model.",2015,Government & Law
Designer Benzodiazepines: Another Class of New Psychoactive Substances,Analysis; Designer benzodiazepines; Metabolism; NPS; Pharmacokinetics; Toxicology; HUMAN LIVER-MICROSOMES; RESOLUTION MASS-SPECTROMETRY; GABA-A RECEPTOR; VITRO PHASE-I; LIQUID-CHROMATOGRAPHY; CLINICAL PHARMACOKINETICS; FLUBROMAZOLAM METABOLISM; MAJOR METABOLITES; URINE SAMPLES; HUMAN SERUM,"Benzodiazepines have been introduced as medical drugs in the 1960s. They replaced the more toxic barbiturates, which were commonly used for treatment of anxiety or sleep disorders at the time. However, benzodiazepines show a high potential of misuse and dependence. Although being of great value as medicines, dependence to these drugs is a concern worldwide, in part due to overprescription and easy availability. Therefore, the phenomenon of benzodiazepines sold via Internet shops without restrictions at low prices is alarming and poses a serious threat to public health. Most of these compounds (with the exception of, e.g., phenazepam and etizolam) have never been licensed as medical drugs in any part of the world and are structurally derived from medically used benzodiazepines. Strategies of clandestine producers to generate new compounds include typical structural variations of medically used 1,4-benzodiazepines based on structure-activity relationships as well as synthesis of active metabolites and triazolo analogs of these compounds. As they were obviously designed to circumvent national narcotics laws or international control, they can be referred to as designer benzodiazepines. The majority of these compounds, such as diclazepam, clonazolam, and nitrazolam, have been described in scientific or patent literature. However, little is known about their pharmacological properties and specific risks related to their use. This chapter describes the phenomenon of designer benzodiazepines and summarizes the available data on pharmacokinetics and pharmacodynamics as well as analytical approaches for their detection.",2018,Pharmacology & Pharmacy; Toxicology
Training in cardiac surgery using human cadavers: Effectiveness of Silent Teachers,cardiac surgery; human cadavers; training; SIMULATION; SKILLS,"BackgroundSurgical skills acquisition in cardiac surgery requires consistent and hard practice. Furthermore, training using cadaver is advocated as a means of transferring learned skills to the operating room and recreate surgical situations for trainees to practice and hone their skills. We expose our experience in training for cardiac surgical procedures using human cadavers. MethodsFrom June 2013 to November 2016, we performed 302 cardiac surgical procedures on 50 human cadavers obtained according to the Ivorian laws in force. Cadavers were preserved in 10% formaldehyde and by cryopreservation. ResultsIn open heart, cardiac surgical techniques were achieved via sternotomy (n=24) or via lid-anterolateral thoracotomy (n=2). Pericardotomy (n=26) and/or pericardiectomy (n=26) were systematic. Aortic and caval canulations and pulmonary artery control (n=30) were performed. After cardiotomy and arterial incisions (n=34), 18 atrial and ventricular septal defects repair, 1 Fontan operation, 1 arterial switch, 11 enlargement procedures of the whole right ventricular outlet and 15 acquired valve heart diseases corrections were performed. In closed-heart surgery, procedures were achieved via sternotomy (n=7), posterolateral thoracotomy (n=12), or Marfan retroxiphoid approach (n=3). Pericardotomy (n=7) or pericardiectomy (n=7) were performed. Great vessels dissections and expositions (n=21) were achieved to perform 4 pulmonary artery bandings, 12 patent ductus arteriosus closures, 3 Waldhausen procedures, 7 Brock Operations, and 2 Blalock-Taussig shunts. In both situations, 29 direct pulmonary arterial, auricular, and ventricular sutures were achieved. ConclusionSurgical simulation in cadaver models offer an opportunity for trainees to practice their surgical skills before entering operating room.",2019,Cardiovascular System & Cardiology; Surgery
Evolutionary Model and Simulation Research of Collaborative Innovation Network: A Case Study of Artificial Intelligence Industry,; PERFORMANCE; DYNAMICS,"Based on integrating the fundamental attribute and the unique property of the collaborative innovation network, this paper establishes a collaborative innovation network model of Artificial Intelligence industry through depicting external stimulus conversion progresses and behaviors of network heterogeneous agents. Heterogeneous agents are the network elements of the model which regards the stimulus response as the evolutionarymechanism. Tencent is one of the largest Internet integrated service providers and one of the Internet companies with the largest number of service users in China, which has also set its sights on the development of the AI industry. Taking Tencent's patent cooperation network in the field of Artificial Intelligence as an example and using system simulation method, we analyze the evolutionary law of the collaborative innovation network topology structure, the coupling evolution phenomenon of the knowledge and the network topology structure, distinct roles that agents play in the network, and relationship between the agents' openness and the knowledge flow efficiency. We find the phenomenon of small world emergence more than once through the evolution of collaborative innovation network, whose degrees and reasons are also distinctive. There exists coupling evolution between the technological knowledge and the network structure. The collaborative innovation network is always oriented towards competitive industries. The agents' openness has an essential influence on the lifting range of the technological knowledge. Strengthening themain position of enterprises in AI technological innovation and enhancing the degree of openness among heterogeneous agents are a powerful guarantee for improving the performance of collaborative innovation.",2018,Mathematics; Science & Technology - Other Topics
